word,avg_green,avg_yellow,avg_grey,entropy,avg_green_scaled,avg_yellow_scaled,avg_grey_scaled,entropy_scaled,TYPE,GREEN,YELLOW,GREY,ENTROPY
luger,0.42,1.07,3.51,5.3,0.494,0.615,0.310,0.817,,,,,
lulls,0.53,0.44,4.03,4.21,0.624,0.253,0.551,0.648,,,,,
lurks,0.52,0.9,3.58,5.53,0.612,0.517,0.343,0.852,,,,,
lusts,0.52,0.74,3.74,4.92,0.612,0.425,0.417,0.758,,,,,
mahua,0.27,0.6,4.13,4.04,0.318,0.345,0.597,0.621,,,,,
mains,0.67,0.91,3.43,5.94,0.788,0.523,0.273,0.916,,,,,
manse,0.48,1.37,3.15,5.85,0.565,0.787,0.144,0.902,,,,,
mares,0.78,1.2,3.03,6.45,0.918,0.690,0.088,0.995,,,,,
marts,0.65,1.05,3.3,6.09,0.765,0.603,0.213,0.939,,,,,
maser,0.53,1.45,3.03,6.06,0.624,0.833,0.088,0.935,,,,,
mayst,0.36,1.12,3.52,5.22,0.424,0.644,0.315,0.804,,,,,
memos,0.52,1.01,3.47,5.04,0.612,0.580,0.292,0.776,,,,,
merle,0.46,0.88,3.66,4.86,0.541,0.506,0.380,0.748,,,,,
metis,0.54,1.21,3.25,5.86,0.635,0.695,0.190,0.904,,,,,
metre,0.41,0.91,3.68,4.75,0.482,0.523,0.389,0.731,,,,,
mewed,0.46,0.51,4.03,4.3,0.541,0.293,0.551,0.661,,,,,
mezzo,0.2,0.83,3.97,3.63,0.235,0.477,0.523,0.557,,,,,
minks,0.53,0.72,3.75,5.49,0.624,0.414,0.421,0.846,,,,,
mises,0.67,0.8,3.53,5.3,0.788,0.460,0.319,0.817,,,,,
missa,0.28,1.07,3.66,4.67,0.329,0.615,0.380,0.719,,,,,
miter,0.47,1.13,3.4,5.71,0.553,0.649,0.259,0.880,,,,,
mitre,0.4,1.2,3.4,5.53,0.471,0.690,0.259,0.852,,,,,
moans,0.67,0.96,3.37,5.88,0.788,0.552,0.245,0.907,,,,,
modus,0.53,0.81,3.65,5.4,0.624,0.466,0.375,0.832,,,,,
moire,0.51,1.14,3.35,5.7,0.600,0.655,0.236,0.879,,,,,
